#{"t_start": 1624019661.3561766, "env_id": "CartPole-v1"}
r,l,t
1.0,1,2.436117
1.0,1,2.43787
1.0,1,2.43962
1.0,1,2.441397
1.0,1,2.443263
1.0,1,2.445096
1.0,1,2.446915
1.0,1,2.448719
1.0,1,2.450534
1.0,1,2.452355
1.0,1,2.454171
1.0,1,2.455983
1.0,1,2.457798
1.0,1,2.459628
1.0,1,2.461435
1.0,1,2.463248
1.0,1,2.46504
1.0,1,2.466856
1.0,1,2.468605
1.0,1,2.470366
1.0,1,2.472307
1.0,1,2.474281
1.0,1,2.476053
1.0,1,2.478511
1.0,1,2.480939
1.0,1,2.482836
1.0,1,2.484642
1.0,1,2.486454
1.0,1,2.488389
1.0,1,2.490151
1.0,1,2.491855
1.0,1,2.493618
1.0,1,2.495415
1.0,1,2.497177
1.0,1,2.498979
1.0,1,2.500743
1.0,1,2.502482
1.0,1,2.504347
1.0,1,2.5061
1.0,1,2.50788
1.0,1,2.509634
1.0,1,2.511368
1.0,1,2.513191
1.0,1,2.515012
1.0,1,2.516813
1.0,1,2.518613
1.0,1,2.520516
1.0,1,2.522305
1.0,1,2.524203
1.0,1,2.526053
1.0,1,2.527938
1.0,1,2.529832
1.0,1,2.531684
1.0,1,2.533403
1.0,1,2.535172
1.0,1,2.538863
1.0,1,2.541662
1.0,1,2.544131
1.0,1,2.546372
1.0,1,2.548694
1.0,1,2.550947
1.0,1,2.552794
1.0,1,2.554558
1.0,1,2.556342
1.0,1,2.558279
1.0,1,2.560251
1.0,1,2.562055
1.0,1,2.56385
1.0,1,2.565667
1.0,1,2.56748
1.0,1,2.569263
1.0,1,2.571112
1.0,1,2.572948
1.0,1,2.574798
1.0,1,2.576611
1.0,1,2.578448
1.0,1,2.580274
1.0,1,2.582135
1.0,1,2.584
1.0,1,2.585854
1.0,1,2.587736
1.0,1,2.589554
1.0,1,2.591352
1.0,1,2.593164
1.0,1,2.594965
1.0,1,2.596729
1.0,1,2.598543
1.0,1,2.600402
